Team Season,Number of Injuries
2010-11  Chicago Bulls,79
2010-11 Atlanta Hawks,86
2010-11 Boston Celtics,117
2010-11 Brooklyn Nets,123
2010-11 Charlotte Hornets,66
2010-11 Denver Nuggets,125
2010-11 Detroit Pistons,79
2010-11 Golden State Warriors,87
2010-11 Houston Rockets,87
2010-11 Indiana Pacers,98
2010-11 LA Clippers,77
2010-11 Los Angeles Lakers,47
2010-11 Memphis Grizzlies,63
2010-11 Miami Heat,80
2010-11 Milwaukee Bucks,178
2010-11 Minnesota Timberwolves,127
2010-11 New York Knicks,90
2010-11 Oklahoma City Thunder,73
2010-11 Orlando Magic,109
2010-11 Philadelphia 76ers,100
2010-11 Phoenix Suns,54
2010-11 Portland Trailblazers,107
2010-11 Sacramento Kings,56
2010-11 San Antonio Spurs,79
2010-11 Toronto Raptors,148
2010-11 Utah Jazz,115
2010-11 Washington Wizards,161
2011-12  Chicago Bulls,127
2011-12 Atlanta Hawks,85
2011-12 Boston Celtics,95
2011-12 Brooklyn Nets,138
2011-12 Charlotte Hornets,147
2011-12 Denver Nuggets,115
2011-12 Detroit Pistons,56
2011-12 Golden State Warriors,74
2011-12 Houston Rockets,88
2011-12 Indiana Pacers,72
2011-12 LA Clippers,63
2011-12 Los Angeles Lakers,54
2011-12 Memphis Grizzlies,39
2011-12 Miami Heat,81
2011-12 Milwaukee Bucks,123
2011-12 Minnesota Timberwolves,146
2011-12 New York Knicks,99
2011-12 Oklahoma City Thunder,50
2011-12 Orlando Magic,130
2011-12 Philadelphia 76ers,75
2011-12 Phoenix Suns,29
2011-12 Portland Trailblazers,112
2011-12 Sacramento Kings,72
2011-12 San Antonio Spurs,73
2011-12 Toronto Raptors,78
2011-12 Utah Jazz,64
2011-12 Washington Wizards,101
2012-13  Chicago Bulls,111
2012-13 Atlanta Hawks,101
2012-13 Boston Celtics,56
2012-13 Brooklyn Nets,107
2012-13 Charlotte Hornets,55
2012-13 Denver Nuggets,72
2012-13 Detroit Pistons,77
2012-13 Golden State Warriors,76
2012-13 Houston Rockets,87
2012-13 Indiana Pacers,93
2012-13 LA Clippers,60
2012-13 Los Angeles Lakers,91
2012-13 Memphis Grizzlies,61
2012-13 Miami Heat,108
2012-13 Milwaukee Bucks,126
2012-13 Minnesota Timberwolves,154
2012-13 New Orleans Pelicans,1
2012-13 New York Knicks,123
2012-13 Oklahoma City Thunder,116
2012-13 Orlando Magic,120
2012-13 Philadelphia 76ers,60
2012-13 Phoenix Suns,45
2012-13 Portland Trailblazers,100
2012-13 Sacramento Kings,52
2012-13 San Antonio Spurs,118
2012-13 Toronto Raptors,84
2012-13 Utah Jazz,81
2012-13 Washington Wizards,129
2013-14  Chicago Bulls,66
2013-14 Atlanta Hawks,102
2013-14 Boston Celtics,107
2013-14 Brooklyn Nets,112
2013-14 Denver Nuggets,123
2013-14 Detroit Pistons,79
2013-14 Golden State Warriors,110
2013-14 Houston Rockets,177
2013-14 Indiana Pacers,55
2013-14 LA Clippers,101
2013-14 Los Angeles Lakers,220
2013-14 Memphis Grizzlies,60
2013-14 Miami Heat,139
2013-14 Milwaukee Bucks,238
2013-14 Minnesota Timberwolves,101
2013-14 New Orleans Pelicans,117
2013-14 New York Knicks,95
2013-14 Oklahoma City Thunder,67
2013-14 Orlando Magic,138
2013-14 Philadelphia 76ers,110
2013-14 Phoenix Suns,45
2013-14 Portland Trailblazers,80
2013-14 Sacramento Kings,64
2013-14 San Antonio Spurs,132
2013-14 Toronto Raptors,125
2013-14 Utah Jazz,104
2013-14 Washington Wizards,74
2014-15  Chicago Bulls,113
2014-15 Atlanta Hawks,134
2014-15 Boston Celtics,64
2014-15 Brooklyn Nets,78
2014-15 Charlotte Hornets,79
2014-15 Denver Nuggets,115
2014-15 Detroit Pistons,39
2014-15 Golden State Warriors,93
2014-15 Houston Rockets,84
2014-15 Indiana Pacers,79
2014-15 LA Clippers,69
2014-15 Los Angeles Lakers,76
2014-15 Memphis Grizzlies,93
2014-15 Miami Heat,134
2014-15 Milwaukee Bucks,81
2014-15 Minnesota Timberwolves,94
2014-15 New Orleans Pelicans,74
2014-15 New York Knicks,97
2014-15 Oklahoma City Thunder,79
2014-15 Orlando Magic,122
2014-15 Philadelphia 76ers,107
2014-15 Phoenix Suns,106
2014-15 Portland Trailblazers,108
2014-15 Sacramento Kings,71
2014-15 San Antonio Spurs,120
2014-15 Toronto Raptors,93
2014-15 Utah Jazz,76
2014-15 Washington Wizards,81
2015-16  Chicago Bulls,136
2015-16 Atlanta Hawks,103
2015-16 Boston Celtics,99
2015-16 Brooklyn Nets,63
2015-16 Charlotte Hornets,99
2015-16 Denver Nuggets,76
2015-16 Detroit Pistons,52
2015-16 Golden State Warriors,111
2015-16 Houston Rockets,87
2015-16 Indiana Pacers,83
2015-16 LA Clippers,94
2015-16 Los Angeles Lakers,166
2015-16 Memphis Grizzlies,87
2015-16 Miami Heat,115
2015-16 Milwaukee Bucks,104
2015-16 Minnesota Timberwolves,61
2015-16 New Orleans Pelicans,86
2015-16 New York Knicks,93
2015-16 Oklahoma City Thunder,89
2015-16 Orlando Magic,114
2015-16 Philadelphia 76ers,108
2015-16 Phoenix Suns,82
2015-16 Portland Trailblazers,68
2015-16 Sacramento Kings,138
2015-16 San Antonio Spurs,202
2015-16 Toronto Raptors,119
2015-16 Utah Jazz,58
2015-16 Washington Wizards,113
2016-17  Chicago Bulls,160
2016-17 Atlanta Hawks,91
2016-17 Boston Celtics,115
2016-17 Brooklyn Nets,116
2016-17 Charlotte Hornets,100
2016-17 Denver Nuggets,155
2016-17 Detroit Pistons,77
2016-17 Golden State Warriors,153
2016-17 Houston Rockets,115
2016-17 Indiana Pacers,105
2016-17 LA Clippers,65
2016-17 Los Angeles Lakers,168
2016-17 Memphis Grizzlies,107
2016-17 Miami Heat,86
2016-17 Milwaukee Bucks,116
2016-17 Minnesota Timberwolves,54
2016-17 New Orleans Pelicans,88
2016-17 New York Knicks,164
2016-17 Oklahoma City Thunder,60
2016-17 Orlando Magic,102
2016-17 Philadelphia 76ers,123
2016-17 Phoenix Suns,93
2016-17 Portland Trailblazers,85
2016-17 Sacramento Kings,105
2016-17 San Antonio Spurs,203
2016-17 Toronto Raptors,87
2016-17 Utah Jazz,124
2016-17 Washington Wizards,107
2017-18  Chicago Bulls,123
2017-18 Atlanta Hawks,120
2017-18 Boston Celtics,145
2017-18 Brooklyn Nets,127
2017-18 Charlotte Hornets,100
2017-18 Denver Nuggets,88
2017-18 Detroit Pistons,78
2017-18 Golden State Warriors,187
2017-18 Houston Rockets,167
2017-18 Indiana Pacers,93
2017-18 LA Clippers,80
2017-18 Los Angeles Lakers,131
2017-18 Memphis Grizzlies,201
2017-18 Miami Heat,101
2017-18 Milwaukee Bucks,139
2017-18 Minnesota Timberwolves,52
2017-18 New Orleans Pelicans,65
2017-18 New York Knicks,130
2017-18 Oklahoma City Thunder,67
2017-18 Orlando Magic,117
2017-18 Philadelphia 76ers,163
2017-18 Phoenix Suns,136
2017-18 Portland Trailblazers,91
2017-18 Sacramento Kings,131
2017-18 San Antonio Spurs,166
2017-18 Toronto Raptors,110
2017-18 Utah Jazz,118
2017-18 Washington Wizards,81
2018-19  Chicago Bulls,77
2018-19 Atlanta Hawks,101
2018-19 Boston Celtics,151
2018-19 Brooklyn Nets,95
2018-19 Charlotte Hornets,77
2018-19 Denver Nuggets,40
2018-19 Detroit Pistons,87
2018-19 Golden State Warriors,115
2018-19 Houston Rockets,109
2018-19 Indiana Pacers,79
2018-19 LA Clippers,39
2018-19 Los Angeles Lakers,96
2018-19 Memphis Grizzlies,124
2018-19 Miami Heat,91
2018-19 Milwaukee Bucks,147
2018-19 Minnesota Timberwolves,80
2018-19 New Orleans Pelicans,94
2018-19 New York Knicks,115
2018-19 Oklahoma City Thunder,51
2018-19 Orlando Magic,95
2018-19 Philadelphia 76ers,139
2018-19 Phoenix Suns,66
2018-19 Portland Trailblazers,79
2018-19 Sacramento Kings,62
2018-19 San Antonio Spurs,56
2018-19 Toronto Raptors,120
2018-19 Utah Jazz,76
2018-19 Washington Wizards,64
2019-20  Chicago Bulls,81
2019-20 Atlanta Hawks,84
2019-20 Boston Celtics,95
2019-20 Brooklyn Nets,50
2019-20 Charlotte Hornets,42
2019-20 Denver Nuggets,55
2019-20 Detroit Pistons,94
2019-20 Golden State Warriors,100
2019-20 Houston Rockets,75
2019-20 Indiana Pacers,70
2019-20 LA Clippers,79
2019-20 Los Angeles Lakers,53
2019-20 Memphis Grizzlies,58
2019-20 Miami Heat,86
2019-20 Milwaukee Bucks,109
2019-20 Minnesota Timberwolves,61
2019-20 New Orleans Pelicans,60
2019-20 New York Knicks,76
2019-20 Oklahoma City Thunder,63
2019-20 Orlando Magic,60
2019-20 Philadelphia 76ers,69
2019-20 Phoenix Suns,82
2019-20 Portland Trailblazers,61
2019-20 Sacramento Kings,48
2019-20 San Antonio Spurs,29
2019-20 Toronto Raptors,73
2019-20 Utah Jazz,73
2019-20 Washington Wizards,72
2020-21 Boston Celtics,13
2020-21 Brooklyn Nets,22
2020-21 Charlotte Hornets,1
2020-21 Denver Nuggets,11
2020-21 Houston Rockets,18
2020-21 Indiana Pacers,18
2020-21 LA Clippers,8
2020-21 Los Angeles Lakers,33
2020-21 Memphis Grizzlies,7
2020-21 Miami Heat,35
2020-21 Milwaukee Bucks,25
2020-21 New Orleans Pelicans,7
2020-21 Oklahoma City Thunder,24
2020-21 Orlando Magic,30
2020-21 Philadelphia 76ers,18
2020-21 Phoenix Suns,9
2020-21 Portland Trailblazers,11
2020-21 Sacramento Kings,5
2020-21 San Antonio Spurs,8
2020-21 Toronto Raptors,17
2020-21 Utah Jazz,25
2020-21 Washington Wizards,7
